Tem,Wind,Hum,Pres,PM10,PM2.5,O3,NO2,CO,SO2,Pat
1.9,2.3,43.6,1014.6,49,33,0.007,0.042,0.5,0.006,1
0.6,2,59.5,1015.4,38,27,0.008,0.038,0.5,0.005,0
-5.3,2.2,41.8,1017.6,43,26,0.014,0.033,0.4,0.006,1
-2.4,1.9,49.6,1016.9,58,40,0.009,0.054,0.6,0.007,1
-0.7,2.4,50.1,1014.9,56,40,0.015,0.042,0.6,0.006,1
-2.2,2.5,39.4,1013.1,41,22,0.019,0.031,0.4,0.005,1
-3.1,2.9,38.6,1012.6,49,28,0.026,0.018,0.3,0.006,0
2.7,1.6,38.5,1015.2,38,23,0.009,0.044,0.5,0.005,0
8.4,3.2,95.3,1006.9,35,24,0.006,0.042,0.5,0.004,1
-2.7,2.7,65.6,1007.7,27,15,0.016,0.028,0.3,0.004,1
0,2.3,53.9,1013.5,39,14,0.014,0.033,0.3,0.005,1
3.5,3.2,66.4,1010.8,46,25,0.017,0.037,0.4,0.006,1
1.3,2.9,37.1,1013.2,42,18,0.02,0.027,0.3,0.005,0
0.7,3.2,56,1019,55,34,0.02,0.024,0.3,0.004,1
-3,2.9,42,1022.4,33,18,0.02,0.024,0.3,0.003,1
-0.2,2.7,49.9,1021.7,52,32,0.017,0.033,0.4,0.005,1
2.2,2.2,41.3,1017.3,53,38,0.018,0.034,0.4,0.005,1
-3.8,4,48.6,1014.4,54,34,0.025,0.017,0.3,0.004,1
8.1,1.9,65.1,1013.2,57,38,0.014,0.04,0.4,0.004,1
13.2,2.7,55.3,1013.4,70,48,0.013,0.042,0.4,0.004,1
11.3,2.6,91.3,1007.9,26,15,0.007,0.031,0.3,0.003,0
2.7,3.1,40.4,1012.3,67,22,0.023,0.018,0.3,0.004,1
-0.5,2.6,43.8,1014.7,34,18,0.028,0.017,0.2,0.004,1
2,2.5,55.6,1014.1,44,21,0.019,0.032,0.3,0.004,0
5.2,2.2,43.4,1012.8,56,34,0.023,0.035,0.3,0.005,1
7.5,2,45.1,1011.5,62,40,0.018,0.044,0.4,0.007,1
13.4,2.4,50,1002,64,47,0.019,0.048,0.5,0.006,1
7.2,2.4,36.5,1013.8,37,22,0.026,0.023,0.2,0.003,1
7.1,2.2,43.9,1013,65,43,0.019,0.039,0.3,0.004,1
6.5,2.2,54.5,1010.8,64,50,0.021,0.037,0.3,0.004,0
13.5,2.1,27,1006.2,48,24,0.014,0.053,0.5,0.006,1
11.4,2.5,45.1,1006.1,59,25,0.021,0.039,0.4,0.007,1
14.4,1.9,44.3,1005.2,77,49,0.02,0.049,0.5,0.007,1
14.1,3,69.5,998.7,44,29,0.025,0.027,0.3,0.004,1
11.1,2.5,76.1,1005,76,48,0.021,0.033,0.4,0.005,1
14.1,2.3,42.6,1004.5,54,30,0.023,0.032,0.4,0.004,1
15.6,1.7,67.5,996.4,57,37,0.016,0.043,0.4,0.004,0
12.4,2.6,75.9,1002.4,58,37,0.012,0.041,0.4,0.004,1
15,2.6,46.4,1008.5,51,29,0.026,0.037,0.4,0.004,1
14.9,2.9,58.9,996.6,47,26,0.022,0.04,0.4,0.004,0
